"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D4,D1,D2,D3";"D_SMA";4;"MRA4007T3G";;;
2;"TP1,TP2,TP3";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";3;"TestPoint_Small";;;
3;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"CurrentSense";;;
4;"J1";"Connector_Female_LLL";1;"Conn_01x06_Socket";;;
5;"D5";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
6;"C1";"CP_Elec_6.3x5.9";1;"C_Polarized_Small";;;
7;"J2";"Connector_Male_LLL";1;"Conn_01x06_Pin";;;
8;"TP_GND";"TestPoint_Loop_D2.50mm_Drill1.0mm";1;"TestPoint_Small";;;
9;"R3,R2,R1,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"RESISTOR0603";;;
10;"COMP1";"SOT95P280X125-5N";1;"BA8391G-TR";;;
11;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10u";;;
12;"U1";"SOT91P240X110-3N";1;"ZXTR2105FQ";;;
13;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470";;;
14;"MOSFET1";"SOIC127P600X175-8N";1;"N-MOSFET-SO8S";;;
